#Run Subrun PIN RMS
#------------------
109764  65  1003 178.50
109764  66  1003 178.84
109764  67  1001 180.25
109764  68  1004 181.67
109764  69  1001 179.90
109764  70  1006 179.59
109764  71  1007 179.73
109764  72  1007 179.18
109764  73  1005 178.72
109764  74  1005 178.71
109764  75  1004 179.36
109764  76  1009 180.00
109764  77  1006 179.51
109764  78  1005 178.16
109764  79  1004 179.36
109764  80  1003 177.97
109764  81  1011 179.47
109764  82  1008 178.95
109764  83  1012 179.41
109764  84  1012 180.33
109764  85  1008 179.48
109764  86  1010 178.70
109764  87  1009 180.45
109764  88  1010 179.31
109764  89  1006 180.18
109764  90  1008 178.54
109764  91  1009 178.94
109764  92  1005 179.30
109764  93  1009 178.25
109764  94  1003 179.87
109764  95  1008 179.31
109764  96  1004 178.12
109764  97  1003 178.96
109764  98  1004 177.93
109764  99  1006 178.45
109764 100  1009 177.60
109764 101  1013 179.55
109764 102  1007 179.52
109764 103  1009 178.58
109764 104  1010 179.33
109764 105  1010 179.50
109764 106  1008 180.16
109764 107  1012 179.00
109764 108  1011 179.15
109764 109  1010 180.72
109764 110  1006 180.00
109764 111  1008 177.95
109764 112  1005 179.62
109764 113  1004 179.18
109764 114  1010 179.61
109764 115  1008 179.64
109764 116  1009 178.60
109764 117  1011 177.89
109764 118  1008 178.96
109764 119  1009 178.82
109764 120  1004 178.40
109764 121  1007 178.98
109764 122  1011 178.59
109764 123  1005 179.68
109764 124  1012 178.16
109764 125  1013 178.52
109764 126  1009 180.52
109764 127  1007 178.74
109764 128  1012 179.24
109764 129  1010 179.74
109764 130  1010 180.95
109764 131  1010 178.72
109764 132  1013 179.68
109764 133  1010 180.26
109764 134  1005 178.72
109764 135  1009 178.02
109764 136  1008 180.70
109764 137  1008 178.72
109764 138  1011 178.44
109764 139  1004 178.95
109764 140  1004 180.18
109764 141  1006 178.45
109764 142   997 179.33
109764 143  1003 179.23
109764 144  1005 179.17
109764 145  1003 179.07
109764 146  1006 178.33
109764 147  1010 180.00
109764 148  1005 179.41
109764 149  1009 178.39
109764 150  1008 180.16
109764 151  1012 179.51
109764 152  1010 179.27
109764 153  1010 180.13
109764 154  1006 179.05
109764 155  1008 178.91
109764 156  1009 179.94
109764 157  1011 179.72
109764 158  1011 178.00
109764 159  1014 179.59
109764 160  1012 179.69
109764 161  1012 179.44
109764 162  1011 179.47
109764 163  1014 179.88
109764 164  1010 180.38
109764 165  1014 178.98
109764 166  1007 180.24
109764 167  1011 178.40
109764 168  1009 180.07
109764 169  1014 180.26
109764 170  1017 179.74
109764 171  1012 179.72
109764 172  1010 180.54
109764 173  1015 179.90
109764 174  1010 179.97
109764 175  1013 179.33
109764 176  1011 178.33
109764 177  1012 179.34
109764 178  1010 178.63
109764 179  1013 179.19
109764 180  1011 179.40
109764 181  1015 179.94
109764 182  1012 178.81
109764 183  1015 178.04
109764 184  1012 178.26
109764 185  1011 178.46
109764 186  1011 178.40
109764 187  1010 178.72
109764 188  1008 178.48
109764 189  1011 179.48
109764 190  1009 179.27
109764 191  1010 178.77
109764 192  1010 179.48
109764 193  1007 179.10
109764 194  1008 180.41
109764 195  1007 178.49
109764 196  1007 179.65
109764 197  1010 179.01
109764 198  1009 180.00
