#Run Subrun PIN RMS
#------------------
100851 10 1544 181.14
100851 11 1542 181.44
100851 12 1544 181.46
100851 13 1542 180.46
100851 14 1541 182.60
100851 15 1543 180.15
100851 16 1540 181.19
100851 17 1543 180.99
100851 18 1541 180.28
100851 19 1543 181.04
100855 0 1194 181.85
100855 1 1194 180.79
100855 2 1191 180.67
100855 3 1193 181.03
100855 4 1190 180.40
100855 5 1192 180.95
100855 6 1195 180.78
100855 7 1193 180.99
100855 8 1197 180.38
100855 9 1192 180.16
100855 10 1195 180.20
100855 11 1193 181.04
100855 12 1195 181.36
100855 13 1192 182.31
100855 14 1193 181.07
100855 15 1187 180.73
100855 16 1196 180.87
100855 17 1190 180.06
100855 18 1193 181.51
100855 19 1194 181.52
100859 0 1228 180.15
100859 1 1228 182.13
100859 2 1226 182.45
100859 3 1225 180.48
100859 4 1229 181.08
100859 5 1223 179.06
100859 6 1230 181.78
100859 7 1229 179.75
100859 8 1229 180.92
100859 9 1226 181.55
100859 10 1230 180.27
100859 11 1229 180.30
100859 12 1230 180.90
100859 13 1225 181.13
100859 14 1227 180.27
100859 15 1228 179.89
100859 16 1233 179.77
100859 17 1228 180.52
100859 18 1239 179.67
100859 19 1226 181.47
100865 0 1611 181.52
100865 1 1603 181.51
100865 2 1609 182.37
100865 3 1608 182.11
100865 4 1607 181.69
100865 5 1608 182.07
100865 6 1607 181.90
100865 7 1606 182.04
100865 8 1607 181.04
100865 9 1609 181.92
100865 10 1610 180.54
100865 11 1612 181.45
100865 12 1610 181.07
100865 13 1604 182.63
100865 14 1610 181.46
100865 15 1608 181.63
100865 16 1609 180.90
100865 17 1609 181.80
100865 18 1606 180.90
100865 19 1608 181.48
100869 0 2035 178.02
100869 1 2032 178.31
100869 2 2031 178.59
100869 3 2035 177.85
100869 4 2040 179.88
100869 5 2038 179.61
100869 6 2033 178.17
100869 7 2034 179.31
100869 8 2034 177.87
100869 9 2038 178.75
100869 10 2036 178.80
100869 11 2036 177.33
100869 12 2035 178.62
100869 13 2036 179.31
100869 14 2038 178.17
100869 15 2037 178.69
100869 16 2036 177.24
100869 17 2037 177.71
100869 18 2038 178.45
100869 19 2033 178.45
100873 0 544 180.28
100873 1 545 181.04
100873 2 542 180.80
100873 3 546 180.08
100873 4 544 180.62
100873 5 545 179.68
100873 6 544 182.45
100873 7 547 180.82
100873 8 541 179.95
100873 9 543 180.43
100873 10 548 180.18
100873 11 544 179.44
100873 12 542 180.14
100873 13 540 179.73
100873 14 546 180.48
100873 15 538 179.52
100873 16 544 179.69
100873 17 542 180.72
100873 18 547 180.63
100873 19 540 179.64
