#Run Subrun PIN RMS
#------------------
102260 0 716 180.14
102260 1 722 179.86
102260 2 723 180.15
102260 3 725 180.64
102260 4 725 179.84
102260 5 725 179.48
102260 6 727 179.82
102260 7 724 179.05
102260 8 724 180.14
102260 9 724 178.41
102260 10 727 180.04
102260 11 726 180.25
102260 12 730 179.64
102260 13 728 180.91
102260 14 721 180.37
102260 15 725 179.99
102260 16 728 181.29
102260 17 730 180.61
102260 18 721 181.21
102260 19 727 179.43
102260 20 727 180.37
102260 21 730 180.11
102260 22 727 180.22
102260 23 726 181.50
102260 24 724 180.67
102260 25 726 180.70
102260 26 725 180.19
102260 27 725 179.20
102260 28 722 179.72
102260 29 729 181.51
102260 30 728 180.43
102260 31 727 179.51
102260 32 724 179.13
102260 33 726 178.94
102260 34 729 180.32
102260 35 724 180.62
102260 36 727 180.81
102260 37 726 179.80
102260 38 726 180.03
102260 39 724 180.30
102264 0 1183 180.44
102264 1 1182 179.87
102264 2 1191 181.40
102264 3 1187 178.75
102264 4 1188 180.79
102264 5 1182 180.37
102264 6 1190 180.06
102264 7 1188 181.86
102264 8 1186 180.52
102264 9 1190 180.66
102264 10 1188 180.79
102264 11 1191 181.80
102264 12 1186 181.59
102264 13 1189 181.25
102264 14 1189 180.79
102264 15 1187 182.24
102264 16 1188 180.92
102264 17 1189 181.46
102264 18 1187 181.50
102264 19 1192 179.87
102264 20 1186 179.37
102264 21 1185 181.42
102264 22 1189 180.33
102264 23 1192 180.83
102264 24 1187 180.59
102264 25 1189 182.10
102264 26 1186 180.55
102264 27 1188 181.02
102264 28 1191 180.73
102264 29 1189 181.05
102264 30 1190 179.99
102264 31 1191 180.75
102264 32 1188 181.87
102264 33 1189 181.11
102264 34 1189 180.08
102264 35 1188 180.60
102264 36 1185 181.35
102264 37 1188 180.77
102264 38 1186 181.44
102264 39 1186 181.32
102268 0 1335 182.30
102268 1 1331 180.15
102268 2 1334 181.09
102268 3 1334 180.81
102268 4 1337 181.62
102268 5 1335 180.59
102268 6 1338 182.74
102268 7 1335 180.84
102268 8 1332 180.47
102268 9 1334 180.84
102268 10 1334 181.26
102268 11 1332 181.18
102268 12 1336 182.42
102268 13 1338 179.88
102268 14 1331 181.77
102268 15 1336 180.74
102268 16 1337 181.16
102268 17 1338 180.34
102268 18 1340 182.27
102268 19 1337 181.23
102268 20 1335 180.69
102268 21 1336 181.01
102268 22 1336 181.08
102268 23 1339 178.52
102268 24 1337 179.86
102268 25 1336 180.56
102268 26 1334 181.70
102268 27 1335 181.04
102268 28 1342 182.01
102268 29 1337 180.38
102268 30 1338 180.10
102268 31 1339 181.19
102268 32 1336 181.36
102268 33 1337 180.58
102268 34 1336 181.12
102268 35 1337 182.51
102268 36 1334 181.30
102268 37 1335 180.04
102268 38 1331 182.82
102268 39 1339 179.89
102161 0 1512 181.99
102161 1 1512 182.09
102161 2 1511 183.18
102161 3 1510 181.41
102161 4 1518 182.33
102161 5 1514 183.12
102161 6 1511 182.45
102161 7 1504 181.68
102161 8 1508 181.01
102161 9 1515 182.85
102161 10 1512 182.88
102161 11 1511 181.52
102161 12 1512 181.79
102161 13 1514 181.35
102161 14 1513 182.92
102161 15 1509 181.09
102161 16 1510 182.92
102161 17 1510 181.91
102161 18 1512 181.75
102161 19 1510 181.16
102161 20 1513 181.29
102161 21 1512 181.86
102161 22 1511 181.64
102161 23 1514 182.57
102161 24 1516 182.95
102161 25 1514 181.92
102161 26 1511 180.84
102161 27 1510 181.63
102161 28 1513 181.43
102161 29 1516 181.71
102161 30 1512 183.21
102161 31 1512 180.42
102161 32 1516 182.75
102161 33 1515 182.07
102161 34 1514 182.32
102161 35 1515 181.30
102161 36 1509 180.47
102161 37 1516 181.65
102161 38 1512 182.73
102161 39 1515 181.61
102274 0 1104 180.07
102274 1 1111 179.44
102274 2 1110 180.64
102274 3 1108 179.70
102274 4 1108 180.46
102274 5 1111 180.05
102274 6 1112 180.13
102274 7 1105 180.56
102274 8 1109 180.07
102274 9 1111 180.47
102274 10 1110 181.38
102274 11 1108 179.22
102274 12 1108 180.09
102274 13 1110 179.77
102274 14 1111 179.51
102274 15 1108 177.81
102274 16 1111 179.90
102274 17 1108 181.81
102274 18 1109 179.98
102274 19 1109 180.55
102274 20 1110 179.12
102274 21 1112 180.94
102274 22 1111 178.54
102274 23 1109 179.10
102274 24 1110 180.08
102274 25 1110 179.86
102274 26 1111 179.77
102274 27 1112 179.67
102274 28 1112 178.25
102274 29 1108 179.98
102274 30 1111 180.34
102274 31 1110 179.08
102274 32 1105 179.52
102274 33 1107 179.45
102274 34 1112 178.76
102274 35 1107 182.19
102274 36 1108 180.12
102274 37 1110 180.44
102274 38 1107 178.38
102274 39 1106 179.12
102278 0 846 179.26
102278 1 841 180.04
102278 2 845 179.76
102278 3 846 178.58
102278 4 841 179.42
102278 5 845 180.77
102278 6 842 180.66
102278 7 843 180.42
102278 8 846 179.01
102278 9 844 179.63
102278 10 845 179.90
102278 11 846 178.63
102278 12 841 180.00
102278 13 840 179.45
102278 14 844 179.62
102278 15 848 179.80
102278 16 843 180.10
102278 17 845 180.14
102278 18 842 179.20
102278 19 844 178.73
102278 20 843 180.28
102278 21 844 179.27
102278 22 844 178.98
102278 23 840 179.84
102278 24 845 178.83
102278 25 848 178.57
102278 26 843 179.77
102278 27 846 180.45
102278 28 843 180.43
102278 29 841 180.51
102278 30 844 178.16
102278 31 843 178.33
102278 32 846 179.32
102278 33 838 180.44
102278 34 844 179.93
102278 35 838 178.91
102278 36 839 179.43
102278 37 844 179.22
102278 38 848 180.42
102278 39 848 179.86
102281 0 1318 182.30
102281 1 1318 180.02
102281 2 1326 180.08
102281 3 1320 181.65
102281 4 1319 179.10
102281 5 1321 180.33
102281 6 1318 181.09
102281 7 1317 180.96
102281 8 1321 180.22
102281 9 1319 181.29
102281 10 1321 181.80
102281 11 1324 181.60
102281 12 1324 181.36
102281 13 1319 180.20
102281 14 1323 180.36
102281 15 1321 180.74
102281 16 1320 180.63
102281 17 1322 180.06
102281 18 1318 179.96
102281 19 1316 182.37
102281 20 1319 180.78
102281 21 1321 180.82
102281 22 1321 181.52
102281 23 1319 180.85
102281 24 1322 181.75
102281 25 1323 180.61
102281 26 1322 180.60
102281 27 1323 181.72
102281 28 1319 180.15
102281 29 1320 179.78
102281 30 1322 179.99
102281 31 1322 179.84
102281 32 1325 182.60
102281 33 1323 181.68
102281 34 1322 181.42
102281 35 1322 180.24
102281 36 1324 180.68
102281 37 1324 182.46
102281 38 1321 180.01
102281 39 1322 180.68
102286 0 1202 178.65
102286 1 1200 180.06
102286 2 1200 180.28
102286 3 1204 180.26
102286 4 1203 181.05
102286 5 1204 181.07
